emp_id,week,mon,tues,wed,thurs,fri,sat,sun
7,31/12/23,2,2,0,3,3,3,0
9,31/12/23,1,0,0,1,1,2,3
11,31/12/23,2,2,2,1,3,1,3
13,31/12/23,0,0,1,3,0,1,0
15,31/12/23,3,3,1,0,1,3,3
16,31/12/23,1,2,2,3,0,1,2
17,31/12/23,0,2,1,2,3,1,0
20,31/12/23,2,2,3,3,3,0,2
21,31/12/23,1,2,0,1,0,1,0
22,31/12/23,1,2,2,1,2,3,3
23,31/12/23,1,3,1,1,1,1,1
24,31/12/23,2,3,0,1,2,1,2
29,31/12/23,1,2,3,3,0,0,2
3,7/1/24,1,0,0,3,1,1,3
5,7/1/24,0,1,2,1,3,3,0
7,7/1/24,3,1,1,1,2,1,3
8,7/1/24,1,2,2,0,0,2,0
9,7/1/24,0,3,2,2,0,3,1
10,7/1/24,3,0,0,0,3,0,1
11,7/1/24,2,1,2,3,0,1,1
13,7/1/24,3,2,3,2,3,3,0
15,7/1/24,0,1,0,2,0,0,0
16,7/1/24,1,1,2,1,1,1,3
17,7/1/24,2,0,1,3,1,1,0
20,7/1/24,3,3,1,0,2,1,3
21,7/1/24,1,0,0,2,2,1,0
22,7/1/24,0,3,3,2,2,3,0
23,7/1/24,1,2,2,0,2,3,3
24,7/1/24,2,1,1,0,0,3,0
29,7/1/24,0,0,0,1,2,3,1
3,14/1/24,2,3,1,3,0,3,1
5,14/1/24,1,3,0,2,0,3,2
7,14/1/24,2,3,0,1,3,0,3
8,14/1/24,1,1,2,2,1,3,0
9,14/1/24,0,2,1,0,2,2,2
10,14/1/24,0,2,1,0,1,2,0
11,14/1/24,3,0,1,0,0,3,3
13,14/1/24,1,3,1,2,1,1,0
15,14/1/24,2,0,2,2,1,0,1
16,14/1/24,3,1,0,0,2,3,3
17,14/1/24,3,2,0,3,0,0,0
20,14/1/24,0,2,2,1,1,0,2
21,14/1/24,0,3,2,0,3,0,2
22,14/1/24,1,3,2,0,3,0,1
23,14/1/24,0,1,2,3,2,0,1
24,14/1/24,3,2,2,1,0,0,2
29,14/1/24,2,0,1,1,1,0,0
7,21/1/24,0,3,2,2,1,2,1
9,21/1/24,0,1,2,0,1,1,1
11,21/1/24,2,1,3,2,0,2,3
13,21/1/24,2,1,0,1,0,2,2
15,21/1/24,2,2,0,3,3,0,3
16,21/1/24,0,3,0,3,1,2,3
17,21/1/24,1,0,2,0,3,2,1
20,21/1/24,3,1,0,3,0,3,0
21,21/1/24,0,2,2,1,3,3,3
22,21/1/24,3,0,1,2,1,3,1
23,21/1/24,2,1,3,2,1,1,3
24,21/1/24,0,0,1,3,2,3,2
29,21/1/24,0,3,1,0,2,3,3
3,28/1/24,0,0,0,0,1,0,2
5,28/1/24,1,0,3,3,3,0,3
7,28/1/24,0,1,3,1,0,1,0
8,28/1/24,2,3,1,1,0,3,3
9,28/1/24,2,2,2,3,1,2,3
10,28/1/24,1,1,1,2,1,1,0
11,28/1/24,2,1,2,1,2,1,0
13,28/1/24,3,1,0,1,0,2,0
15,28/1/24,1,0,3,3,2,2,2
16,28/1/24,0,1,3,1,3,2,1
17,28/1/24,1,2,3,1,3,0,0
20,28/1/24,2,2,1,3,1,1,1
21,28/1/24,1,1,0,0,2,1,2
22,28/1/24,2,0,2,1,3,3,1
23,28/1/24,3,2,3,0,0,0,3
24,28/1/24,3,3,3,0,3,1,3
29,28/1/24,3,3,3,2,1,1,3
